score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.54,111.93021,2945.0,4,0,3,1,MotorImageryDataset,EEGNet
0.535,110.66875,2945.0,5,0,3,1,MotorImageryDataset,EEGNet
0.8225,109.49403,2945.0,6,0,3,1,MotorImageryDataset,EEGNet
0.5600907,104.957016,2943.0,7,0,3,1,MotorImageryDataset,EEGNet
0.48809522,104.03083,2944.0,8,0,3,1,MotorImageryDataset,EEGNet
0.4715719,105.247505,2936.0,9,0,3,1,MotorImageryDataset,EEGNet
0.6449879,105.78737,2863.0,10,0,3,1,MotorImageryDataset,EEGNet
0.48227713,92.1021,2691.0,11,0,3,1,MotorImageryDataset,EEGNet
0.41626483,91.48588,2701.0,12,0,3,1,MotorImageryDataset,EEGNet
0.51428574,100.913574,2906.0,13,0,3,1,MotorImageryDataset,EEGNet
0.48039216,99.75573,2962.0,14,0,3,1,MotorImageryDataset,EEGNet
0.4834683,93.886406,2876.0,15,0,3,1,MotorImageryDataset,EEGNet
0.57,93.84865,2865.0,16,0,3,1,MotorImageryDataset,EEGNet
0.4967213,94.11829,2864.0,17,0,3,1,MotorImageryDataset,EEGNet
0.546748,96.46547,2908.0,18,0,3,1,MotorImageryDataset,EEGNet
0.5714286,98.54739,2946.0,19,0,3,1,MotorImageryDataset,EEGNet
0.45238096,96.77716,2942.0,20,0,3,1,MotorImageryDataset,EEGNet
0.6074197,96.81474,2900.0,21,0,3,1,MotorImageryDataset,EEGNet
0.62909603,95.32502,2866.0,22,0,3,1,MotorImageryDataset,EEGNet
0.45083332,98.91452,2865.0,23,0,3,1,MotorImageryDataset,EEGNet
0.5229752,95.79924,2875.0,24,0,3,1,MotorImageryDataset,EEGNet
0.62525254,98.057076,2876.0,25,0,3,1,MotorImageryDataset,EEGNet
0.54139435,100.450745,2880.0,26,0,3,1,MotorImageryDataset,EEGNet
0.5130341,99.68666,2863.0,27,0,3,1,MotorImageryDataset,EEGNet
0.49814814,97.95467,2862.0,28,0,3,1,MotorImageryDataset,EEGNet
0.49772727,99.672226,2882.0,29,0,3,1,MotorImageryDataset,EEGNet
0.49951988,108.32045,2742.0,1,0,3,1,MotorImageryDataset,ShallowConvNet
0.519086,107.31082,2863.0,2,0,3,1,MotorImageryDataset,ShallowConvNet
0.8114035,118.24913,2924.0,3,0,3,1,MotorImageryDataset,ShallowConvNet
0.9025,119.392746,2945.0,4,0,3,1,MotorImageryDataset,ShallowConvNet
0.5775,119.55124,2945.0,5,0,3,1,MotorImageryDataset,ShallowConvNet
0.9975,111.994415,2945.0,6,0,3,1,MotorImageryDataset,ShallowConvNet
0.414966,107.93946,2943.0,7,0,3,1,MotorImageryDataset,ShallowConvNet
0.4642857,111.065605,2944.0,8,0,3,1,MotorImageryDataset,ShallowConvNet
0.6822742,110.55041,2936.0,9,0,3,1,MotorImageryDataset,ShallowConvNet
0.680731,110.40726,2863.0,10,0,3,1,MotorImageryDataset,ShallowConvNet
0.47924158,101.7522,2691.0,11,0,3,1,MotorImageryDataset,ShallowConvNet
0.6688266,101.407814,2701.0,12,0,3,1,MotorImageryDataset,ShallowConvNet
0.58027214,114.77766,2906.0,13,0,3,1,MotorImageryDataset,ShallowConvNet
0.64705884,114.62121,2962.0,14,0,3,1,MotorImageryDataset,ShallowConvNet
0.634278,109.16026,2876.0,15,0,3,1,MotorImageryDataset,ShallowConvNet
0.95305556,110.782135,2865.0,16,0,3,1,MotorImageryDataset,ShallowConvNet
0.48688525,111.32911,2864.0,17,0,3,1,MotorImageryDataset,ShallowConvNet
0.7310298,113.91256,2908.0,18,0,3,1,MotorImageryDataset,ShallowConvNet
0.47089946,119.33036,2946.0,19,0,3,1,MotorImageryDataset,ShallowConvNet
0.6060606,114.69124,2942.0,20,0,3,1,MotorImageryDataset,ShallowConvNet
0.54097456,112.87673,2900.0,21,0,3,1,MotorImageryDataset,ShallowConvNet
0.93559325,110.11279,2866.0,22,0,3,1,MotorImageryDataset,ShallowConvNet
0.93527776,107.47087,2865.0,23,0,3,1,MotorImageryDataset,ShallowConvNet
0.741157,109.25277,2875.0,24,0,3,1,MotorImageryDataset,ShallowConvNet
0.43501684,111.317696,2876.0,25,0,3,1,MotorImageryDataset,ShallowConvNet
0.55119824,113.48758,2880.0,26,0,3,1,MotorImageryDataset,ShallowConvNet
0.9105079,112.795654,2863.0,27,0,3,1,MotorImageryDataset,ShallowConvNet
0.5425926,112.27999,2862.0,28,0,3,1,MotorImageryDataset,ShallowConvNet
0.5272727,115.43238,2882.0,29,0,3,1,MotorImageryDataset,ShallowConvNet
